NAME,female,state,county,tract,population,period
"Census Tract 1906, Cook County, Illinois",0.46725152028711,17,31,190600,10031.0,2005-2009
"Census Tract 1907, Cook County, Illinois",0.526416783932455,17,31,190700,7817.0,2005-2009
"Census Tract 1908, Cook County, Illinois",0.491160750993559,17,31,190800,7297.0,2005-2009
"Census Tract 1909, Cook County, Illinois",0.46736422521175885,17,31,190900,2007.0,2005-2009
"Census Tract 1910, Cook County, Illinois",0.5457357490057446,17,31,191000,2263.0,2005-2009
"Census Tract 1911, Cook County, Illinois",0.4904836949933325,17,31,191100,8249.0,2005-2009
"Census Tract 1912, Cook County, Illinois",0.48501577287066244,17,31,191200,3804.0,2005-2009
"Census Tract 1913, Cook County, Illinois",0.48665279944531115,17,31,191300,11538.0,2005-2009
"Census Tract 1914, Cook County, Illinois",0.45176470588235296,17,31,191400,1275.0,2005-2009
"Census Tract 2001, Cook County, Illinois",0.46861086375779165,17,31,200100,4492.0,2005-2009
"Census Tract 2002, Cook County, Illinois",0.5111671469740634,17,31,200200,5552.0,2005-2009
"Census Tract 2003, Cook County, Illinois",0.4796965640339134,17,31,200300,2241.0,2005-2009
"Census Tract 2004, Cook County, Illinois",0.48527558152858946,17,31,200400,8727.0,2005-2009
"Census Tract 2005, Cook County, Illinois",0.4719526627218935,17,31,200500,4225.0,2005-2009
"Census Tract 2006, Cook County, Illinois",0.5479951397326853,17,31,200600,823.0,2005-2009
"Census Tract 2101, Cook County, Illinois",0.5210300429184549,17,31,210100,4660.0,2005-2009
"Census Tract 2102, Cook County, Illinois",0.4452501812907904,17,31,210200,1379.0,2005-2009
"Census Tract 2103, Cook County, Illinois",0.44987405541561715,17,31,210300,5955.0,2005-2009
"Census Tract 2104, Cook County, Illinois",0.41904761904761906,17,31,210400,2415.0,2005-2009
"Census Tract 2105, Cook County, Illinois",0.45642943792964014,17,31,210500,9892.0,2005-2009
"Census Tract 2106, Cook County, Illinois",0.4365277282983019,17,31,210600,8421.0,2005-2009
"Census Tract 2107, Cook County, Illinois",0.45454545454545453,17,31,210700,4939.0,2005-2009
"Census Tract 2108, Cook County, Illinois",0.40344827586206894,17,31,210800,1450.0,2005-2009
"Census Tract 2109, Cook County, Illinois",0.5315344603381015,17,31,210900,3076.0,2005-2009
"Census Tract 2201, Cook County, Illinois",0.46219931271477666,17,31,220100,1164.0,2005-2009
"Census Tract 2202, Cook County, Illinois",0.5177736202057999,17,31,220200,2138.0,2005-2009
"Census Tract 2203, Cook County, Illinois",0.4724320241691843,17,31,220300,2648.0,2005-2009
"Census Tract 2204, Cook County, Illinois",0.5129514775629332,17,31,220400,2741.0,2005-2009
"Census Tract 2604, Cook County, Illinois",0.5483346872461413,17,31,260400,1231.0,2005-2009
"Census Tract 2605, Cook County, Illinois",0.5271176112126752,17,31,260500,1641.0,2005-2009
"Census Tract 2606, Cook County, Illinois",0.6063560852293247,17,31,260600,2769.0,2005-2009
"Census Tract 2607, Cook County, Illinois",0.4691136974037601,17,31,260700,2234.0,2005-2009
"Census Tract 2608, Cook County, Illinois",0.5353326439158911,17,31,260800,2901.0,2005-2009
"Census Tract 2609, Cook County, Illinois",0.5874333135743924,17,31,260900,1687.0,2005-2009
"Census Tract 2610, Cook County, Illinois",0.5329695316052752,17,31,261000,2199.0,2005-2009
"Census Tract 2701, Cook County, Illinois",0.9159663865546218,17,31,270100,119.0,2005-2009
"Census Tract 2702, Cook County, Illinois",0.5074798619102416,17,31,270200,1738.0,2005-2009
"Census Tract 2703, Cook County, Illinois",0.37300613496932516,17,31,270300,2445.0,2005-2009
"Census Tract 2704, Cook County, Illinois",0.5003465003465003,17,31,270400,1443.0,2005-2009
"Census Tract 2705, Cook County, Illinois",0.5136690647482014,17,31,270500,2085.0,2005-2009
"Census Tract 2706, Cook County, Illinois",0.5772532188841202,17,31,270600,932.0,2005-2009
"Census Tract 2707, Cook County, Illinois",0.46473029045643155,17,31,270700,482.0,2005-2009
"Census Tract 2708, Cook County, Illinois",0.5252365930599369,17,31,270800,634.0,2005-2009
"Census Tract 2709, Cook County, Illinois",0.5194805194805194,17,31,270900,154.0,2005-2009
"Census Tract 2710, Cook County, Illinois",0.5465968586387434,17,31,271000,955.0,2005-2009
"Census Tract 2711, Cook County, Illinois",0.5874074074074074,17,31,271100,1350.0,2005-2009
"Census Tract 2712, Cook County, Illinois",0.6165413533834586,17,31,271200,1596.0,2005-2009
"Census Tract 2713, Cook County, Illinois",0.5362872421695951,17,31,271300,1309.0,2005-2009
"Census Tract 2714, Cook County, Illinois",0.5552941176470588,17,31,271400,1275.0,2005-2009
"Census Tract 2715, Cook County, Illinois",0.6219816819317235,17,31,271500,1201.0,2005-2009
"Census Tract 2716, Cook County, Illinois",0.3196004993757803,17,31,271600,801.0,2005-2009
"Census Tract 2717, Cook County, Illinois",0.5392762577228597,17,31,271700,1133.0,2005-2009
"Census Tract 2718, Cook County, Illinois",0.6397188049209139,17,31,271800,569.0,2005-2009
"Census Tract 2719, Cook County, Illinois",0.5302593659942363,17,31,271900,694.0,2005-2009
"Census Tract 2801, Cook County, Illinois",0.47739837398373985,17,31,280100,3075.0,2005-2009
"Census Tract 2802, Cook County, Illinois",0.5685483870967742,17,31,280200,2728.0,2005-2009
"Census Tract 2803, Cook County, Illinois",0.4603174603174603,17,31,280300,819.0,2005-2009
"Census Tract 2804, Cook County, Illinois",0.6973365617433414,17,31,280400,826.0,2005-2009
"Census Tract 2805, Cook County, Illinois",0.4910807974816369,17,31,280500,953.0,2005-2009
"Census Tract 2806, Cook County, Illinois",0.26141078838174275,17,31,280600,241.0,2005-2009
"Census Tract 2807, Cook County, Illinois",0.5658362989323843,17,31,280700,281.0,2005-2009
"Census Tract 2808, Cook County, Illinois",0.4960380348652932,17,31,280800,631.0,2005-2009
"Census Tract 2809, Cook County, Illinois",0.6832740213523132,17,31,280900,1124.0,2005-2009
"Census Tract 2810, Cook County, Illinois",0.40894568690095845,17,31,281000,313.0,2005-2009
"Census Tract 2811, Cook County, Illinois",0.6396396396396397,17,31,281100,333.0,2005-2009
"Census Tract 2812, Cook County, Illinois",0.5,17,31,281200,744.0,2005-2009
"Census Tract 2813, Cook County, Illinois",0.6006692693809258,17,31,281300,1793.0,2005-2009
"Census Tract 2814, Cook County, Illinois",0.5533333333333333,17,31,281400,300.0,2005-2009
"Census Tract 2815, Cook County, Illinois",0.6654804270462633,17,31,281500,281.0,2005-2009
"Census Tract 2816, Cook County, Illinois",0.3915547024952015,17,31,281600,1042.0,2005-2009
"Census Tract 2817, Cook County, Illinois",0.499546690843155,17,31,281700,3309.0,2005-2009
"Census Tract 2818, Cook County, Illinois",0.4376731301939058,17,31,281800,2888.0,2005-2009
"Census Tract 2819, Cook County, Illinois",0.40330493157758845,17,31,281900,3873.0,2005-2009
"Census Tract 2820, Cook County, Illinois",0.49733570159857904,17,31,282000,1126.0,2005-2009
"Census Tract 2821, Cook County, Illinois",0.5591225254146602,17,31,282100,1869.0,2005-2009
"Census Tract 2822, Cook County, Illinois",0.5485781990521327,17,31,282200,1688.0,2005-2009
"Census Tract 2823, Cook County, Illinois",0.3894736842105263,17,31,282300,855.0,2005-2009
"Census Tract 2824, Cook County, Illinois",0.4608131997642899,17,31,282400,1697.0,2005-2009
"Census Tract 2825, Cook County, Illinois",0.32194244604316546,17,31,282500,556.0,2005-2009
"Census Tract 2826, Cook County, Illinois",0.46588235294117647,17,31,282600,425.0,2005-2009
"Census Tract 2827, Cook County, Illinois",0.45691056910569106,17,31,282700,2460.0,2005-2009
"Census Tract 2205, Cook County, Illinois",0.46938121192689963,17,31,220500,3119.0,2005-2009
"Census Tract 2206, Cook County, Illinois",0.48756087929445835,17,31,220600,7597.0,2005-2009
"Census Tract 2207, Cook County, Illinois",0.4950185356811863,17,31,220700,8632.0,2005-2009
"Census Tract 2208, Cook County, Illinois",1.0,17,31,220800,20.0,2005-2009
"Census Tract 2209, Cook County, Illinois",0.47240618101545256,17,31,220900,7248.0,2005-2009
"Census Tract 2210, Cook County, Illinois",0.5517241379310345,17,31,221000,2726.0,2005-2009
"Census Tract 2211, Cook County, Illinois",0.47000331455087835,17,31,221100,6034.0,2005-2009
"Census Tract 2212, Cook County, Illinois",0.4437702265372168,17,31,221200,2472.0,2005-2009
"Census Tract 2213, Cook County, Illinois",0.5344316309719934,17,31,221300,3035.0,2005-2009
"Census Tract 2214, Cook County, Illinois",0.39521345407503233,17,31,221400,3092.0,2005-2009
"Census Tract 2215, Cook County, Illinois",0.47633979475484606,17,31,221500,3508.0,2005-2009
"Census Tract 2216, Cook County, Illinois",0.4985326485693324,17,31,221600,2726.0,2005-2009
"Census Tract 2217, Cook County, Illinois",0.4270621698496546,17,31,221700,2461.0,2005-2009
"Census Tract 2218, Cook County, Illinois",0.49923037455105185,17,31,221800,1949.0,2005-2009
"Census Tract 2219, Cook County, Illinois",0.46646341463414637,17,31,221900,656.0,2005-2009
"Census Tract 2220, Cook County, Illinois",0.523142509135201,17,31,222000,1642.0,2005-2009
"Census Tract 2221, Cook County, Illinois",0.4557109557109557,17,31,222100,858.0,2005-2009
"Census Tract 2222, Cook County, Illinois",0.4597590361445783,17,31,222200,2075.0,2005-2009
"Census Tract 2223, Cook County, Illinois",0.654532967032967,17,31,222300,1456.0,2005-2009
"Census Tract 2224, Cook County, Illinois",0.504,17,31,222400,2250.0,2005-2009
"Census Tract 2225, Cook County, Illinois",0.49386701097482244,17,31,222500,1549.0,2005-2009
"Census Tract 2226, Cook County, Illinois",0.47687687687687685,17,31,222600,1665.0,2005-2009
"Census Tract 2227, Cook County, Illinois",0.5333761232349166,17,31,222700,3116.0,2005-2009
"Census Tract 2228, Cook County, Illinois",0.6367521367521367,17,31,222800,936.0,2005-2009
"Census Tract 2229, Cook County, Illinois",0.4972341733251383,17,31,222900,1627.0,2005-2009
"Census Tract 2301, Cook County, Illinois",0.5393721049922799,17,31,230100,1943.0,2005-2009
"Census Tract 2302, Cook County, Illinois",0.5461300309597523,17,31,230200,1615.0,2005-2009
"Census Tract 2303, Cook County, Illinois",0.4520547945205479,17,31,230300,1241.0,2005-2009
"Census Tract 2304, Cook County, Illinois",0.4897485493230174,17,31,230400,2585.0,2005-2009
"Census Tract 2305, Cook County, Illinois",0.4792977807220934,17,31,230500,3019.0,2005-2009
"Census Tract 2306, Cook County, Illinois",0.4604603127766303,17,31,230600,6778.0,2005-2009
"Census Tract 2307, Cook County, Illinois",0.5102295798844292,17,31,230700,6403.0,2005-2009
"Census Tract 2308, Cook County, Illinois",0.4563106796116505,17,31,230800,1751.0,2005-2009
"Census Tract 2309, Cook County, Illinois",0.49358108108108106,17,31,230900,5920.0,2005-2009
"Census Tract 2310, Cook County, Illinois",0.4680983504512916,17,31,231000,3213.0,2005-2009
"Census Tract 2311, Cook County, Illinois",0.5634146341463414,17,31,231100,1230.0,2005-2009
"Census Tract 2312, Cook County, Illinois",0.47346041055718474,17,31,231200,6820.0,2005-2009
"Census Tract 2313, Cook County, Illinois",0.5403252032520325,17,31,231300,6150.0,2005-2009
"Census Tract 2314, Cook County, Illinois",,17,31,231400,0.0,2005-2009
"Census Tract 2315, Cook County, Illinois",0.5620554765291608,17,31,231500,5624.0,2005-2009
"Census Tract 2316, Cook County, Illinois",0.6626198083067093,17,31,231600,1565.0,2005-2009
"Census Tract 2317, Cook County, Illinois",0.5178018575851393,17,31,231700,1292.0,2005-2009
"Census Tract 2318, Cook County, Illinois",0.4609120521172638,17,31,231800,614.0,2005-2009
"Census Tract 2401, Cook County, Illinois",0.10638297872340426,17,31,240100,141.0,2005-2009
"Census Tract 2402, Cook County, Illinois",0.4738109572546659,17,31,240200,1661.0,2005-2009
"Census Tract 2403, Cook County, Illinois",0.43407043407043405,17,31,240300,1221.0,2005-2009
"Census Tract 2404, Cook County, Illinois",0.5045558086560364,17,31,240400,878.0,2005-2009
"Census Tract 2405, Cook County, Illinois",0.391304347826087,17,31,240500,2162.0,2005-2009
"Census Tract 2406, Cook County, Illinois",0.3969957081545064,17,31,240600,1398.0,2005-2009
"Census Tract 2407, Cook County, Illinois",0.4525043177892919,17,31,240700,1737.0,2005-2009
"Census Tract 2408, Cook County, Illinois",0.4987264391237901,17,31,240800,1963.0,2005-2009
"Census Tract 2409, Cook County, Illinois",0.5578078078078078,17,31,240900,1332.0,2005-2009
"Census Tract 2410, Cook County, Illinois",0.5611814345991561,17,31,241000,2607.0,2005-2009
"Census Tract 2411, Cook County, Illinois",0.47863051470588236,17,31,241100,4352.0,2005-2009
"Census Tract 2412, Cook County, Illinois",0.5425013535462913,17,31,241200,1847.0,2005-2009
"Census Tract 2413, Cook County, Illinois",0.4678040726472207,17,31,241300,1817.0,2005-2009
"Census Tract 2414, Cook County, Illinois",0.4769452449567723,17,31,241400,4858.0,2005-2009
"Census Tract 2415, Cook County, Illinois",0.4590780809031044,17,31,241500,3189.0,2005-2009
"Census Tract 2416, Cook County, Illinois",0.5152935372471633,17,31,241600,4054.0,2005-2009
"Census Tract 2417, Cook County, Illinois",0.13380281690140844,17,31,241700,142.0,2005-2009
"Census Tract 2418, Cook County, Illinois",0.5913978494623656,17,31,241800,930.0,2005-2009
"Census Tract 2419, Cook County, Illinois",0.46579194001874413,17,31,241900,1067.0,2005-2009
"Census Tract 2420, Cook County, Illinois",0.4401903035795197,17,31,242000,4414.0,2005-2009
"Census Tract 2421, Cook County, Illinois",0.4411850982692872,17,31,242100,3409.0,2005-2009
"Census Tract 2422, Cook County, Illinois",0.47010007322431047,17,31,242200,4097.0,2005-2009
"Census Tract 2423, Cook County, Illinois",0.5161377084454007,17,31,242300,3718.0,2005-2009
"Census Tract 2424, Cook County, Illinois",0.5127756387819391,17,31,242400,2857.0,2005-2009
"Census Tract 2425, Cook County, Illinois",0.5326768128916741,17,31,242500,4468.0,2005-2009
"Census Tract 2426, Cook County, Illinois",0.5179884714768436,17,31,242600,5031.0,2005-2009
"Census Tract 2427, Cook County, Illinois",0.6128882707464071,17,31,242700,2157.0,2005-2009
"Census Tract 2428, Cook County, Illinois",0.4305983960518199,17,31,242800,1621.0,2005-2009
"Census Tract 2429, Cook County, Illinois",0.48505506030414264,17,31,242900,1907.0,2005-2009
"Census Tract 2430, Cook County, Illinois",0.47517439474764056,17,31,243000,2437.0,2005-2009
"Census Tract 2431, Cook County, Illinois",0.5153374233128835,17,31,243100,1956.0,2005-2009
"Census Tract 2432, Cook County, Illinois",0.475210970464135,17,31,243200,1896.0,2005-2009
"Census Tract 2433, Cook County, Illinois",0.5051503914297487,17,31,243300,2427.0,2005-2009
"Census Tract 2434, Cook County, Illinois",0.40819312362838334,17,31,243400,2734.0,2005-2009
"Census Tract 2435, Cook County, Illinois",0.4772727272727273,17,31,243500,3080.0,2005-2009
"Census Tract 2436, Cook County, Illinois",0.46261089987325726,17,31,243600,789.0,2005-2009
"Census Tract 2501, Cook County, Illinois",0.4915254237288136,17,31,250100,177.0,2005-2009
"Census Tract 2502, Cook County, Illinois",0.4892109500805153,17,31,250200,3105.0,2005-2009
"Census Tract 2503, Cook County, Illinois",0.5776652194886638,17,31,250300,4146.0,2005-2009
"Census Tract 2504, Cook County, Illinois",0.5060007742934572,17,31,250400,7749.0,2005-2009
"Census Tract 2505, Cook County, Illinois",0.5162060301507537,17,31,250500,7960.0,2005-2009
"Census Tract 2506, Cook County, Illinois",0.5557062584770394,17,31,250600,5161.0,2005-2009
"Census Tract 2507, Cook County, Illinois",0.5368560543316216,17,31,250700,6037.0,2005-2009
"Census Tract 2508, Cook County, Illinois",0.5952572347266881,17,31,250800,2488.0,2005-2009
"Census Tract 2509, Cook County, Illinois",0.5,17,31,250900,926.0,2005-2009
"Census Tract 2510, Cook County, Illinois",0.640597539543058,17,31,251000,1138.0,2005-2009
"Census Tract 2511, Cook County, Illinois",0.49911071587372163,17,31,251100,4498.0,2005-2009
"Census Tract 2512, Cook County, Illinois",0.5663551401869159,17,31,251200,4280.0,2005-2009
"Census Tract 2513, Cook County, Illinois",0.5916469394656747,17,31,251300,5914.0,2005-2009
"Census Tract 2514, Cook County, Illinois",0.5282883743136787,17,31,251400,4189.0,2005-2009
"Census Tract 2515, Cook County, Illinois",0.5376368103640831,17,31,251500,4477.0,2005-2009
"Census Tract 2516, Cook County, Illinois",0.5249007027192178,17,31,251600,3273.0,2005-2009
"Census Tract 2517, Cook County, Illinois",0.6687847498014297,17,31,251700,1259.0,2005-2009
"Census Tract 2518, Cook County, Illinois",0.5767524401064774,17,31,251800,5635.0,2005-2009
"Census Tract 2519, Cook County, Illinois",0.5192409066947812,17,31,251900,5691.0,2005-2009
"Census Tract 2520, Cook County, Illinois",0.5984057695957488,17,31,252000,5269.0,2005-2009
"Census Tract 2521, Cook County, Illinois",0.5650762739370334,17,31,252100,9243.0,2005-2009
"Census Tract 2522, Cook County, Illinois",0.5211611502984265,17,31,252200,7372.0,2005-2009
"Census Tract 2523, Cook County, Illinois",0.28614008941877794,17,31,252300,671.0,2005-2009
"Census Tract 2524, Cook County, Illinois",0.518140589569161,17,31,252400,2646.0,2005-2009
"Census Tract 2601, Cook County, Illinois",0.5502793296089385,17,31,260100,1432.0,2005-2009
"Census Tract 2602, Cook County, Illinois",0.5915863277826467,17,31,260200,1141.0,2005-2009
"Census Tract 2603, Cook County, Illinois",0.5771315919172005,17,31,260300,2029.0,2005-2009
"Census Tract 0, Cook County, Illinois",,17,31,0,0.0,2005-2009
"Census Tract 101, Cook County, Illinois",0.5731127197518098,17,31,10100,4835.0,2005-2009
"Census Tract 102, Cook County, Illinois",0.5024915062287656,17,31,10200,8830.0,2005-2009
"Census Tract 103, Cook County, Illinois",0.4786181707502663,17,31,10300,6571.0,2005-2009
"Census Tract 104, Cook County, Illinois",0.5393235941564939,17,31,10400,4997.0,2005-2009
"Census Tract 105, Cook County, Illinois",0.5116587468228534,17,31,10500,9049.0,2005-2009
"Census Tract 106, Cook County, Illinois",0.4691166077738516,17,31,10600,7075.0,2005-2009
"Census Tract 107, Cook County, Illinois",0.4537095088819227,17,31,10700,9570.0,2005-2009
"Census Tract 108, Cook County, Illinois",0.49116347569955815,17,31,10800,4074.0,2005-2009
"Census Tract 109, Cook County, Illinois",0.4919928825622776,17,31,10900,1124.0,2005-2009
"Census Tract 201, Cook County, Illinois",0.6330299785867237,17,31,20100,3736.0,2005-2009
"Census Tract 202, Cook County, Illinois",0.568905109489051,17,31,20200,6850.0,2005-2009
"Census Tract 203, Cook County, Illinois",0.4956456295022041,17,31,20300,9301.0,2005-2009
"Census Tract 204, Cook County, Illinois",0.5104413858566682,17,31,20400,4214.0,2005-2009
"Census Tract 205, Cook County, Illinois",0.4492512479201331,17,31,20500,5409.0,2005-2009
"Census Tract 206, Cook County, Illinois",0.5210582628149013,17,31,20600,10281.0,2005-2009
"Census Tract 207, Cook County, Illinois",0.5120345140781108,17,31,20700,8808.0,2005-2009
"Census Tract 208, Cook County, Illinois",0.5290993417115499,17,31,20800,13368.0,2005-2009
"Census Tract 209, Cook County, Illinois",0.4822074788902292,17,31,20900,9948.0,2005-2009
"Census Tract 301, Cook County, Illinois",0.5348115634932648,17,31,30100,13214.0,2005-2009
"Census Tract 302, Cook County, Illinois",0.48878923766816146,17,31,30200,5798.0,2005-2009
"Census Tract 303, Cook County, Illinois",0.47671136203246295,17,31,30300,2834.0,2005-2009
"Census Tract 304, Cook County, Illinois",0.4756233717901005,17,31,30400,2687.0,2005-2009
"Census Tract 305, Cook County, Illinois",0.4506359781950333,17,31,30500,6604.0,2005-2009
"Census Tract 306, Cook County, Illinois",0.476364441492306,17,31,30600,9033.0,2005-2009
"Census Tract 307, Cook County, Illinois",0.5215933340107712,17,31,30700,9841.0,2005-2009
"Census Tract 308, Cook County, Illinois",0.509707654541397,17,31,30800,4481.0,2005-2009
"Census Tract 309, Cook County, Illinois",0.462432915921288,17,31,30900,3354.0,2005-2009
"Census Tract 310, Cook County, Illinois",0.585929440891273,17,31,31000,4847.0,2005-2009
"Census Tract 311, Cook County, Illinois",0.43775583915241995,17,31,31100,4153.0,2005-2009
"Census Tract 312, Cook County, Illinois",0.3910529519172246,17,31,31200,6572.0,2005-2009
"Census Tract 313, Cook County, Illinois",0.461671469740634,17,31,31300,6940.0,2005-2009
"Census Tract 314, Cook County, Illinois",0.5642367376398412,17,31,31400,5542.0,2005-2009
"Census Tract 315, Cook County, Illinois",0.4451944388474713,17,31,31500,9926.0,2005-2009
"Census Tract 316, Cook County, Illinois",0.41478696741854637,17,31,31600,2394.0,2005-2009
"Census Tract 317, Cook County, Illinois",0.41658577173762307,17,31,31700,7211.0,2005-2009
"Census Tract 318, Cook County, Illinois",0.4632936507936508,17,31,31800,2016.0,2005-2009
"Census Tract 319, Cook County, Illinois",0.46450381679389313,17,31,31900,2620.0,2005-2009
"Census Tract 320, Cook County, Illinois",0.4829467939972715,17,31,32000,733.0,2005-2009
"Census Tract 321, Cook County, Illinois",0.45165823496346263,17,31,32100,7116.0,2005-2009
"Census Tract 401, Cook County, Illinois",0.4944189100459619,17,31,40100,4569.0,2005-2009
"Census Tract 402, Cook County, Illinois",0.5132303456714592,17,31,40200,13076.0,2005-2009
"Census Tract 403, Cook County, Illinois",0.4629265091863517,17,31,40300,3048.0,2005-2009
"Census Tract 404, Cook County, Illinois",0.4879825200291333,17,31,40400,8238.0,2005-2009
"Census Tract 405, Cook County, Illinois",0.4942857142857143,17,31,40500,1050.0,2005-2009
"Census Tract 406, Cook County, Illinois",0.5207869339272457,17,31,40600,2694.0,2005-2009
"Census Tract 407, Cook County, Illinois",0.4915655519384433,17,31,40700,3379.0,2005-2009
"Census Tract 408, Cook County, Illinois",0.5414663461538461,17,31,40800,1664.0,2005-2009
"Census Tract 409, Cook County, Illinois",0.558091286307054,17,31,40900,1928.0,2005-2009
"Census Tract 410, Cook County, Illinois",0.5275471698113208,17,31,41000,1325.0,2005-2009
"Census Tract 501, Cook County, Illinois",0.5204507512520868,17,31,50100,2396.0,2005-2009
"Census Tract 502, Cook County, Illinois",0.5213365539452496,17,31,50200,4968.0,2005-2009
"Census Tract 503, Cook County, Illinois",0.5157526254375729,17,31,50300,2571.0,2005-2009
"Census Tract 504, Cook County, Illinois",0.5296523517382413,17,31,50400,978.0,2005-2009
"Census Tract 505, Cook County, Illinois",0.5055728119861137,17,31,50500,5473.0,2005-2009
"Census Tract 506, Cook County, Illinois",0.5105263157894737,17,31,50600,2090.0,2005-2009
"Census Tract 507, Cook County, Illinois",0.5469749139203148,17,31,50700,2033.0,2005-2009
"Census Tract 508, Cook County, Illinois",0.4618208516886931,17,31,50800,1362.0,2005-2009
"Census Tract 509, Cook County, Illinois",0.5172413793103449,17,31,50900,1421.0,2005-2009
"Census Tract 510, Cook County, Illinois",0.5148148148148148,17,31,51000,1350.0,2005-2009
"Census Tract 511, Cook County, Illinois",0.616060225846926,17,31,51100,1594.0,2005-2009
"Census Tract 512, Cook County, Illinois",0.522869523350987,17,31,51200,2077.0,2005-2009
"Census Tract 513, Cook County, Illinois",0.522202486678508,17,31,51300,2815.0,2005-2009
"Census Tract 514, Cook County, Illinois",0.49360388178209086,17,31,51400,2267.0,2005-2009
"Census Tract 515, Cook County, Illinois",0.5130293159609121,17,31,51500,1228.0,2005-2009
"Census Tract 601, Cook County, Illinois",0.496407576747224,17,31,60100,3062.0,2005-2009
"Census Tract 602, Cook County, Illinois",0.5432576123731271,17,31,60200,2069.0,2005-2009
"Census Tract 603, Cook County, Illinois",0.5087503837887627,17,31,60300,3257.0,2005-2009
"Census Tract 604, Cook County, Illinois",0.5053904811990534,17,31,60400,3803.0,2005-2009
"Census Tract 605, Cook County, Illinois",0.5814696485623003,17,31,60500,1252.0,2005-2009
"Census Tract 606, Cook County, Illinois",0.3908333333333333,17,31,60600,1200.0,2005-2009
"Census Tract 607, Cook County, Illinois",0.3832258064516129,17,31,60700,2325.0,2005-2009
"Census Tract 608, Cook County, Illinois",0.5074422248335292,17,31,60800,5106.0,2005-2009
"Census Tract 609, Cook County, Illinois",0.4996962332928311,17,31,60900,6584.0,2005-2009
"Census Tract 610, Cook County, Illinois",0.49610077984403117,17,31,61000,1667.0,2005-2009
"Census Tract 611, Cook County, Illinois",0.46238938053097345,17,31,61100,1356.0,2005-2009
"Census Tract 612, Cook County, Illinois",0.6151185770750988,17,31,61200,2024.0,2005-2009
"Census Tract 613, Cook County, Illinois",0.506363027461487,17,31,61300,1493.0,2005-2009
"Census Tract 614, Cook County, Illinois",0.5507692307692308,17,31,61400,1625.0,2005-2009
"Census Tract 615, Cook County, Illinois",0.5167322834645669,17,31,61500,2032.0,2005-2009
"Census Tract 616, Cook County, Illinois",0.3291492329149233,17,31,61600,717.0,2005-2009
"Census Tract 617, Cook County, Illinois",0.39710144927536234,17,31,61700,1380.0,2005-2009
"Census Tract 618, Cook County, Illinois",0.4853801169590643,17,31,61800,855.0,2005-2009
"Census Tract 619, Cook County, Illinois",0.47038282462493536,17,31,61900,7732.0,2005-2009
"Census Tract 620, Cook County, Illinois",0.4699922057677319,17,31,62000,2566.0,2005-2009
"Census Tract 621, Cook County, Illinois",0.5429171668667467,17,31,62100,3332.0,2005-2009
"Census Tract 622, Cook County, Illinois",0.4656846334114496,17,31,62200,2987.0,2005-2009
"Census Tract 623, Cook County, Illinois",0.4939965694682676,17,31,62300,1749.0,2005-2009
"Census Tract 624, Cook County, Illinois",0.5149802148106275,17,31,62400,1769.0,2005-2009
