community_area,2005-2009,2010-2014,2015-2019,2018-2022,2005-2009 to 2010-2014,2010-2014 to 2015-2019,2015-2019 to 2018-2022,2005-2009 to 2018-2022
SOUTH LAWNDALE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,medium,high
NORTH LAWNDALE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,medium,high
LOWER WEST SIDE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,medium,high
NEAR SOUTH SIDE,213.37400000000002,187.618,262.46950000000004,293.94249999999994,low,high,medium,high
BRIDGEPORT,226.51,134.71300000000002,189.4975,245.3705,high,medium,medium,low
BRIGHTON PARK,226.51,134.71300000000002,189.4975,245.3705,high,medium,medium,low
MCKINLEY PARK,226.51,134.71300000000002,189.4975,245.3705,high,medium,medium,low
ARMOUR SQUARE,226.51,134.71300000000002,189.4975,245.3705,high,medium,medium,low
NEW CITY,226.51,134.71300000000002,189.4975,245.3705,high,medium,medium,low
GAGE PARK,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
WEST LAWN,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
ARCHER HEIGHTS,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
WEST ELSDON,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
CHICAGO LAWN,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
CLEARING,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
GARFIELD RIDGE,192.55,124.19299999999998,166.3915,207.31599999999997,medium,medium,medium,low
ENGLEWOOD,212.03249999999997,96.58500000000001,116.54750000000001,171.71400000000003,high,low,medium,medium
GREATER GRAND CROSSING,212.03249999999997,96.58500000000001,116.54750000000001,171.71400000000003,high,low,medium,medium
WEST ENGLEWOOD,212.03249999999997,96.58500000000001,116.54750000000001,171.71400000000003,high,low,medium,medium
HYDE PARK,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
FULLER PARK,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
DOUGLAS,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
GRAND BOULEVARD,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
WASHINGTON PARK,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
WOODLAWN,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
KENWOOD,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
OAKLAND,210.743,128.95149999999998,155.541,195.86049999999997,medium,low,medium,low
BEVERLY,174.541,124.71899999999997,152.22150000000002,187.98000000000002,medium,low,medium,low
MORGAN PARK,174.541,124.71899999999997,152.22150000000002,187.98000000000002,medium,low,medium,low
MOUNT GREENWOOD,174.541,124.71899999999997,152.22150000000002,187.98000000000002,medium,low,medium,low
AUBURN GRESHAM,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
CHATHAM,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
AVALON PARK,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
BURNSIDE,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
CALUMET HEIGHTS,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
WASHINGTON HEIGHTS,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
ASHBURN,174.1435,95.71749999999999,110.025,155.69800000000004,medium,low,medium,low
PULLMAN,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
SOUTH CHICAGO,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
WEST PULLMAN,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
ROSELAND,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
SOUTH SHORE,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
RIVERDALE,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
EAST SIDE,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
HEGEWISCH,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
SOUTH DEERING,175.77949999999998,96.55449999999999,108.828,153.25349999999997,medium,low,medium,low
